card,reason
baseball-cards-2015-bowman-draft-chrome/austin-smith-180,parse:KeyError
baseball-cards-2015-bowman-draft-chrome/brett-lilek-61,parse:KeyError
baseball-cards-2015-bowman-chrome-prospects/casey-gillaspie-bcp216,parse:KeyError
Casey Soltis,no_scp_url
baseball-cards-2015-bowman-draft-chrome/chris-betts-194,parse:KeyError
baseball-cards-2015-bowman-draft-chrome/desmond-lindsay-45,parse:KeyError
baseball-cards-2015-bowman-draft-chrome/donnie-dewees-16,parse:KeyError
Drew Dosch,no_scp_url
baseball-cards-2015-bowman-draft-chrome/drew-finley-173,parse:KeyError
baseball-cards-2015-bowman-draft-chrome/eric-jenkins-165,parse:KeyError
baseball-cards-2015-bowman-draft-chrome/garrett-whitley-84,parse:KeyError
baseball-cards-2017-bowman-chrome-prospects/isael-soto-bcp-129,parse:KeyError
Julian Leon,no_scp_url
baseball-cards-2015-bowman-draft-chrome/kyle-holder-27,parse:KeyError
baseball-cards-2015-bowman-chrome-prospects/logan-moon-bcp10,parse:KeyError
baseball-cards-2015-bowman-draft-chrome/lucas-herbert-41,parse:KeyError
baseball-cards-2015-bowman-chrome-prospects/luis-ysla-bcp198,parse:KeyError
baseball-cards-2015-bowman-draft-chrome/max-wotell-103,parse:KeyError
baseball-cards-2015-bowman-draft-chrome/michael-matuella-70,parse:KeyError
baseball-cards-2015-bowman-chrome-prospects/michael-de-leon-bcp249,parse:KeyError
baseball-cards-2015-bowman-draft-chrome/mike-nikorak-31,parse:KeyError
Milton Ramos,no_scp_url
baseball-cards-2015-bowman-chrome-prospects/nolan-sanburn-bcp177,parse:KeyError
baseball-cards-2015-bowman-draft-chrome/richie-martin-117,parse:KeyError
Ronnie Williams,no_scp_url
baseball-cards-2015-bowman-chrome-prospects/simon-mercedes-bcp215,parse:KeyError
baseball-cards-2015-bowman-chrome-prospects/trace-loehr-bcp167,parse:KeyError
baseball-cards-2018-bowman-chrome-prospects/cj-chatham-bcp-117,parse:KeyError
Connor Jones,no_scp_url
Corey Zangari,no_scp_url
Jeison Guzman,no_scp_url
Joe Rizzo,no_scp_url
Jordan Stephens,no_scp_url
baseball-cards-2016-bowman-chrome-prospects/mikey-white-bcp-44,parse:KeyError
Nolan Martinez,no_scp_url
baseball-cards-2017-bowman-chrome-prospects/oscar-de-la-cruz-bcp-72,parse:KeyError
Robert Tyler,no_scp_url
Tim Lynch,no_scp_url
Alberto Tirado,no_scp_url
Andrew Calica,no_scp_url
baseball-cards-2017-bowman-draft-chrome/brendan-murphy-bdc149,parse:KeyError
baseball-cards-2017-bowman-draft-chrome/caden-lemons-bdc66,parse:KeyError
baseball-cards-2017-bowman-draft-chrome/cole-brannen-bdc193,parse:KeyError
Cole Stobbe,no_scp_url
Gage Hinsz,no_scp_url
Grayson Long,no_scp_url
Logan Ice,no_scp_url
baseball-cards-2017-bowman-draft-chrome/morgan-cooper-bdc30,parse:KeyError
Nick Banks,no_scp_url
Ofelky Peralta,no_scp_url
baseball-cards-2017-bowman-draft-chrome/quentin-holmes-bdc118,parse:KeyError
baseball-cards-2017-bowman-draft-chrome/quinn-brodey-bdc24,parse:KeyError
baseball-cards-2017-bowman-draft-chrome/riley-mahan-bdc132,parse:KeyError
Antoni Flores,no_scp_url
Brayan Hernandez,no_scp_url
Brett Cumberland,no_scp_url
Cadyn Grenier,no_scp_url
Carlos Rincon,no_scp_url
Chris DeVito,no_scp_url
Cole Freeman,no_scp_url
Connor Scott,no_scp_url
Greyson Jenista,no_scp_url
Griffin Roberts,no_scp_url
Jake Ring,no_scp_url
Jayson Schroeder,no_scp_url
Jeremy Eierman,no_scp_url
Joe Gray,no_scp_url
Jose Gomez,no_scp_url
Josh Breaux,no_scp_url
Josh Stowers,no_scp_url
Lenny Torres,no_scp_url
Matthias Dietz,no_scp_url
Nick Fanti,no_scp_url
Nick Schnell,no_scp_url
Osiris Johnson,no_scp_url
Ryder Green,no_scp_url
Tanner Dodson,no_scp_url
Tristan Pompey,no_scp_url
Tyler Frank,no_scp_url
Willie Abreu,no_scp_url
Blaine Knight,no_scp_url
Durbin Feltman,no_scp_url
Gregory Guerrero,no_scp_url
Jonatan Machado,no_scp_url
Melvin Adon,no_scp_url
Telmito Agustin,no_scp_url
Adam Hill,no_scp_url
Anthony Garcia,no_scp_url
Austin Hansen,no_scp_url
Bradlee Beesley,no_scp_url
Brady Whalen,no_scp_url
Brandon Howlett,no_scp_url
Brandon Lewis,no_scp_url
Bryant Packard,no_scp_url
Bryce Ball,no_scp_url
Chandler Redmond,no_scp_url
Colin Barber,no_scp_url
Connor Cannon,no_scp_url
Cooper Johnson,no_scp_url
Devin Mann,no_scp_url
Diosbel Arias,no_scp_url
Dylan File,no_scp_url
Erik Rivera,no_scp_url
Ethan Lindow,no_scp_url
Graeme Stinson,no_scp_url
Gunner Mayer,no_scp_url
Hector Yan,no_scp_url
Jeff Hakanson,no_scp_url
Jhon Torres,no_scp_url
Joan Martinez,no_scp_url
Joe Genord,no_scp_url
Jordan Brewer,no_scp_url
Anthony Solometo,no_scp_url
Anthony Walters,no_scp_url
Baron Radcliff,no_scp_url
Breidy Encarnacion,no_scp_url
Carson Taylor,no_scp_url
Chih-Jung Liu,no_scp_url
D'Shawn Knowles,no_scp_url
Daniel Montano,no_scp_url
Darryl Collins,no_scp_url
David Garcia,no_scp_url
Dylan MacLean,no_scp_url
Eduarqui Fernandez,no_scp_url
Elijah Dunham,no_scp_url
Ethan Hearn,no_scp_url
Gabriel Maciel,no_scp_url
George Feliz,no_scp_url
Hyun-il Choi,no_scp_url
J.D. Orr,no_scp_url
Jackson Cluff,no_scp_url
Jagger Haynes,no_scp_url
Jeferson Espinal,no_scp_url
Jeremy Wu-Yelland,no_scp_url
Jesus Parra,no_scp_url
Ji-Hwan Bae,no_scp_url
baseball-cards-2021-bowman-chrome-prospects/julio-carreras-bcp-161,parse:KeyError
Kale Emshoff,no_scp_url
Koen Moreno,no_scp_url
