player_name,mlb_id,rookie_year,role,card_type,set_slug,scp_url
Jonathan India,663697,2021,hitter,flagship,baseball-cards-2021-topps-chrome-update,https://www.sportscardspro.com/game/baseball-cards-2021-topps-chrome-update/jonathan-india-usc74
Jonathan India,663697,2021,hitter,bowman_1st,,
Adolis Garcia,666969,2021,hitter,flagship,baseball-cards-2021-topps-chrome-update,https://www.sportscardspro.com/game/baseball-cards-2021-topps-chrome-update/adolis-garcia-usc64
Adolis Garcia,666969,2021,hitter,bowman_1st,,
Wander Franco,677551,2021,hitter,flagship,,
Wander Franco,677551,2021,hitter,bowman_1st,,
Jarred Kelenic,672284,2021,hitter,flagship,baseball-cards-2021-topps-chrome-update,https://www.sportscardspro.com/game/baseball-cards-2021-topps-chrome-update/jarred-kelenic-usc2
Jarred Kelenic,672284,2021,hitter,bowman_1st,,
Bobby Witt Jr,677951,2022,hitter,flagship,baseball-cards-2022-topps-chrome,https://www.sportscardspro.com/game/baseball-cards-2022-topps-chrome/bobby-witt-jr-221
Bobby Witt Jr,677951,2022,hitter,bowman_1st,baseball-cards-2021-bowman-chrome,https://www.sportscardspro.com/game/baseball-cards-2021-bowman-chrome/bobby-witt-jr-bcp193
Julio Rodriguez,677594,2022,hitter,flagship,baseball-cards-2022-topps-chrome,https://www.sportscardspro.com/game/baseball-cards-2022-topps-chrome/julio-rodriguez-222
Julio Rodriguez,677594,2022,hitter,bowman_1st,baseball-cards-2022-bowman-chrome,https://www.sportscardspro.com/game/baseball-cards-2022-bowman-chrome/julio-rodriguez-48
Adley Rutschman,668939,2022,hitter,flagship,,
Adley Rutschman,668939,2022,hitter,bowman_1st,,
Spencer Strider,675911,2022,pitcher,flagship,,
Spencer Strider,675911,2022,pitcher,bowman_1st,,
Michael Harris II,671739,2022,hitter,flagship,,
Michael Harris II,671739,2022,hitter,bowman_1st,,
Gunnar Henderson,683002,2023,hitter,flagship,baseball-cards-2023-topps-chrome,https://www.sportscardspro.com/game/baseball-cards-2023-topps-chrome/gunnar-henderson-2
Gunnar Henderson,683002,2023,hitter,bowman_1st,baseball-cards-2023-bowman-chrome,https://www.sportscardspro.com/game/baseball-cards-2023-bowman-chrome/gunnar-henderson-10
Corbin Carroll,682998,2023,hitter,flagship,baseball-cards-2023-topps-chrome,https://www.sportscardspro.com/game/baseball-cards-2023-topps-chrome/corbin-carroll-95
Corbin Carroll,682998,2023,hitter,bowman_1st,baseball-cards-2023-bowman-chrome,https://www.sportscardspro.com/game/baseball-cards-2023-bowman-chrome/corbin-carroll-5
Jordan Walker,691023,2023,hitter,flagship,baseball-cards-2023-topps-chrome,https://www.sportscardspro.com/game/baseball-cards-2023-topps-chrome/jordan-walker-209
Jordan Walker,691023,2023,hitter,bowman_1st,baseball-cards-2023-bowman-chrome,https://www.sportscardspro.com/game/baseball-cards-2023-bowman-chrome/jordan-walker-18
Anthony Volpe,683011,2023,hitter,flagship,baseball-cards-2023-topps-chrome,https://www.sportscardspro.com/game/baseball-cards-2023-topps-chrome/anthony-volpe-4
Anthony Volpe,683011,2023,hitter,bowman_1st,baseball-cards-2023-bowman-chrome,https://www.sportscardspro.com/game/baseball-cards-2023-bowman-chrome/anthony-volpe-11
Jackson Chourio,694192,2024,hitter,flagship,baseball-cards-2024-topps-chrome,https://www.sportscardspro.com/game/baseball-cards-2024-topps-chrome/jackson-chourio-161
Jackson Chourio,694192,2024,hitter,bowman_1st,baseball-cards-2024-bowman-chrome,https://www.sportscardspro.com/game/baseball-cards-2024-bowman-chrome/jackson-chourio-69
Paul Skenes,694973,2024,pitcher,flagship,baseball-cards-2024-topps-chrome-update,https://www.sportscardspro.com/game/baseball-cards-2024-topps-chrome-update/paul-skenes-usc88
Paul Skenes,694973,2024,pitcher,bowman_1st,baseball-cards-2024-bowman-chrome,https://www.sportscardspro.com/game/baseball-cards-2024-bowman-chrome/paul-skenes-31
Wyatt Langford,694671,2024,hitter,flagship,baseball-cards-2024-topps-chrome,https://www.sportscardspro.com/game/baseball-cards-2024-topps-chrome/wyatt-langford-122
Wyatt Langford,694671,2024,hitter,bowman_1st,baseball-cards-2024-bowman-chrome,https://www.sportscardspro.com/game/baseball-cards-2024-bowman-chrome/wyatt-langford-71
Jackson Merrill,701538,2024,hitter,flagship,baseball-cards-2024-topps-chrome,https://www.sportscardspro.com/game/baseball-cards-2024-topps-chrome/jackson-merrill-207
Jackson Merrill,701538,2024,hitter,bowman_1st,baseball-cards-2024-bowman-chrome,https://www.sportscardspro.com/game/baseball-cards-2024-bowman-chrome/jackson-merrill-27
Nick Kurtz,701762,2025,hitter,flagship,baseball-cards-2025-topps-chrome-update,https://www.sportscardspro.com/game/baseball-cards-2025-topps-chrome-update/nick-kurtz-usc178
Nick Kurtz,701762,2025,hitter,bowman_1st,baseball-cards-2025-bowman-chrome,https://www.sportscardspro.com/game/baseball-cards-2025-bowman-chrome/nick-kurtz-93
Jacob Wilson,805779,2025,hitter,flagship,baseball-cards-2025-topps-chrome,https://www.sportscardspro.com/game/baseball-cards-2025-topps-chrome/jacob-wilson-96
Jacob Wilson,805779,2025,hitter,bowman_1st,baseball-cards-2025-bowman-chrome,https://www.sportscardspro.com/game/baseball-cards-2025-bowman-chrome/jacob-wilson-1
Roki Sasaki,808963,2025,pitcher,flagship,baseball-cards-2025-topps-chrome,https://www.sportscardspro.com/game/baseball-cards-2025-topps-chrome/roki-sasaki-217
Roki Sasaki,808963,2025,pitcher,bowman_1st,baseball-cards-2025-bowman-chrome,https://www.sportscardspro.com/game/baseball-cards-2025-bowman-chrome/roki-sasaki-12
Roman Anthony,701350,2025,hitter,flagship,,
Roman Anthony,701350,2025,hitter,bowman_1st,,
