player_name,mlb_id,class_year,family,role,card_type,set_slug,scp_url,auto_card_url
Anthony Gutierrez,703152,2022,chrome,hitter,bowman_1st_base,baseball-cards-2022-bowman-chrome-prospects,https://www.sportscardspro.com/game/baseball-cards-2022-bowman-chrome-prospects/anthony-gutierrez-bcp-160,https://www.sportscardspro.com/game/baseball-cards-2022-bowman-chrome-prospect-autographs/anthony-gutierrez-cpa-ag
Anthony Hall,689141,2022,draft,hitter,bowman_1st_base,baseball-cards-2022-bowman-draft-chrome,https://www.sportscardspro.com/game/baseball-cards-2022-bowman-draft-chrome/anthony-hall-bdc-97,https://www.sportscardspro.com/game/baseball-cards-2022-bowman-draft-chrome-autographs/anthony-hall-cda-ah
Anthony Rodriguez,692377,2022,chrome,hitter,bowman_1st_base,baseball-cards-2022-bowman-chrome-prospects,https://www.sportscardspro.com/game/baseball-cards-2022-bowman-chrome-prospects/anthony-rodriguez-bcp-26,https://www.sportscardspro.com/game/baseball-cards-2022-bowman-chrome-prospect-autographs/anthony-rodriguez-cpa-arz
Antonio Pinero,665836,2022,chrome,hitter,bowman_1st_base,,,https://www.sportscardspro.com/game/baseball-cards-2022-bowman-chrome-prospect-autographs/antonio-pinero-cpa-ap
Austin Schultz,681111,2022,chrome,hitter,bowman_1st_base,,,https://www.sportscardspro.com/game/baseball-cards-2022-bowman-chrome-prospect-autographs/austin-schultz-cpa-ast
Benyamin Bailey,686397,2022,chrome,hitter,bowman_1st_base,baseball-cards-2022-bowman-chrome-prospects,https://www.sportscardspro.com/game/baseball-cards-2022-bowman-chrome-prospects/benyamin-bailey-bcp-8,https://www.sportscardspro.com/game/baseball-cards-2022-bowman-chrome-prospect-autographs/benyamin-bailey-cpa-bby
Brady Allen,680918,2022,chrome,hitter,bowman_1st_base,baseball-cards-2022-bowman-chrome-prospects,https://www.sportscardspro.com/game/baseball-cards-2022-bowman-chrome-prospects/brady-allen-bcp-36,https://www.sportscardspro.com/game/baseball-cards-2022-bowman-chrome-prospect-autographs/brady-allen-cpa-bal
Brandol Mezquita,678841,2022,chrome,hitter,bowman_1st_base,,,https://www.sportscardspro.com/game/baseball-cards-2022-bowman-chrome-prospect-autographs/brandol-mezquita-cpa-bmq
Brandon Barriera,702255,2022,draft,pitcher,bowman_1st_base,baseball-cards-2022-bowman-draft-chrome,https://www.sportscardspro.com/game/baseball-cards-2022-bowman-draft-chrome/brandon-barriera-bdc-21,https://www.sportscardspro.com/game/baseball-cards-2022-bowman-draft-chrome-autographs/brandon-barriera-cda-bba
Brandon Birdsell,669361,2022,draft,pitcher,bowman_1st_base,,,https://www.sportscardspro.com/game/baseball-cards-2022-bowman-draft-chrome-autographs/brandon-birdsell-cda-bb
Branlyn Jaraba,682638,2022,chrome,hitter,bowman_1st_base,baseball-cards-2022-bowman-chrome-prospects,https://www.sportscardspro.com/game/baseball-cards-2022-bowman-chrome-prospects/branlyn-jaraba-bcp-15,https://www.sportscardspro.com/game/baseball-cards-2022-bowman-chrome-prospect-autographs/branlyn-jaraba-cpa-bj
Brenner Cox,702685,2022,draft,pitcher,bowman_1st_base,baseball-cards-2022-bowman-draft-chrome,https://www.sportscardspro.com/game/baseball-cards-2022-bowman-draft-chrome/brenner-cox-bdc-196,https://www.sportscardspro.com/game/baseball-cards-2022-bowman-draft-chrome-autographs/brenner-cox-cda-bc
