player_name,class_year,reason
Jordan Stephens,2016,no_base_card
Nolan Martinez,2016,no_base_card
Robert Tyler,2016,no_base_card
Tim Lynch,2016,no_base_card
Alberto Tirado,2017,no_base_card
Andrew Calica,2017,no_base_card
Cole Stobbe,2017,no_base_card
Gage Hinsz,2017,no_base_card
Grayson Long,2017,no_base_card
Logan Ice,2017,no_base_card
Nick Banks,2017,no_base_card
Ofelky Peralta,2017,no_base_card
Antoni Flores,2018,no_base_card
Brayan Hernandez,2018,no_base_card
Brett Cumberland,2018,no_base_card
Cadyn Grenier,2018,no_base_card
Carlos Rincon,2018,no_base_card
Chris DeVito,2018,no_base_card
Cole Freeman,2018,no_base_card
Connor Scott,2018,no_base_card
Greyson Jenista,2018,no_base_card
Griffin Roberts,2018,no_base_card
Jake Ring,2018,no_base_card
Jayson Schroeder,2018,no_base_card
Jeremy Eierman,2018,no_base_card
Joe Gray,2018,no_base_card
Jose Gomez,2018,no_base_card
Josh Breaux,2018,no_base_card
Josh Stowers,2018,no_base_card
Lenny Torres,2018,no_base_card
Matthias Dietz,2018,no_base_card
Nick Fanti,2018,no_base_card
Nick Schnell,2018,no_base_card
Osiris Johnson,2018,no_base_card
Ryder Green,2018,no_base_card
Tanner Dodson,2018,no_base_card
Tristan Pompey,2018,no_base_card
Tyler Frank,2018,no_base_card
Willie Abreu,2018,no_base_card
Blaine Knight,2019,no_base_card
Durbin Feltman,2019,no_base_card
Gregory Guerrero,2019,no_base_card
Jonatan Machado,2019,no_base_card
Melvin Adon,2019,no_base_card
Telmito Agustin,2019,no_base_card
Adam Hill,2020,no_base_card
Anthony Garcia,2020,no_base_card
Austin Hansen,2020,no_base_card
Bradlee Beesley,2020,no_base_card
Brady Whalen,2020,no_base_card
Brandon Howlett,2020,no_base_card
Brandon Lewis,2020,no_base_card
Bryant Packard,2020,no_base_card
Bryce Ball,2020,no_base_card
Chandler Redmond,2020,no_base_card
Colin Barber,2020,no_base_card
Connor Cannon,2020,no_base_card
Cooper Johnson,2020,no_base_card
Devin Mann,2020,no_base_card
Diosbel Arias,2020,no_base_card
Dylan File,2020,no_base_card
Erik Rivera,2020,no_base_card
Ethan Lindow,2020,no_base_card
Graeme Stinson,2020,no_base_card
Gunner Mayer,2020,no_base_card
Hector Yan,2020,no_base_card
Jeff Hakanson,2020,no_base_card
Jhon Torres,2020,no_base_card
Joan Martinez,2020,no_base_card
Joe Genord,2020,no_base_card
Jordan Brewer,2020,no_base_card
Anthony Solometo,2021,no_base_card
Anthony Walters,2021,no_base_card
Baron Radcliff,2021,no_base_card
Breidy Encarnacion,2021,no_base_card
Carson Taylor,2021,no_base_card
Chih-Jung Liu,2021,no_base_card
D'Shawn Knowles,2021,no_base_card
Daniel Montano,2021,no_base_card
Darryl Collins,2021,no_base_card
David Garcia,2021,no_base_card
Dylan MacLean,2021,no_base_card
Eduarqui Fernandez,2021,no_base_card
Elijah Dunham,2021,no_base_card
Ethan Hearn,2021,no_base_card
Gabriel Maciel,2021,no_base_card
George Feliz,2021,no_base_card
Hyun-il Choi,2021,no_base_card
J.D. Orr,2021,no_base_card
Jackson Cluff,2021,no_base_card
Jagger Haynes,2021,no_base_card
Jeferson Espinal,2021,no_base_card
Jeremy Wu-Yelland,2021,no_base_card
Jesus Parra,2021,no_base_card
Ji-Hwan Bae,2021,no_base_card
Kale Emshoff,2021,no_base_card
Koen Moreno,2021,no_base_card
Kohl Franklin,2021,no_base_card
Luis Mieses,2021,no_base_card
Luis Santana,2021,no_base_card
Marcus Smith,2021,no_base_card
Mariel Bautista,2021,no_base_card
Matt Scheffler,2021,no_base_card
Max Ferguson,2021,no_base_card
Michael Guldberg,2021,no_base_card
Michael McAvene,2021,no_base_card
Pablo Abreu,2021,no_base_card
Rafael Morel,2021,no_base_card
Rayner Santana,2021,no_base_card
Riley Thompson,2021,no_base_card
Sandy Gaston,2021,no_base_card
Santiago Florez,2021,no_base_card
Sean Roby,2021,no_base_card
Stevie Emanuels,2021,no_base_card
Taylor Dollard,2021,no_base_card
Tucker Bradley,2021,no_base_card
Tyler Keenan,2021,no_base_card
Viandel Pena,2021,no_base_card
Zane Mills,2021,no_base_card
Alejandro Hidalgo,2022,no_base_card
Alexander Ovalles,2022,no_base_card
Alexander Suarez,2022,no_base_card
Andy Thomas,2022,no_base_card
Antonio Pinero,2022,no_base_card
Austin Schultz,2022,no_base_card
Brandol Mezquita,2022,no_base_card
Brandon Birdsell,2022,no_base_card
CJ Rodriguez,2022,no_base_card
Cade Doughty,2022,no_base_card
Cal Conley,2022,no_base_card
Charlie Welch,2022,no_base_card
Collin Burns,2022,no_base_card
Cooper Bowman,2022,no_base_card
Creed Willems,2022,no_base_card
Cristian Gonzalez,2022,no_base_card
D'Andre Smith,2022,no_base_card
Damiano Palmegiani,2022,no_base_card
Daniel McElveny,2022,no_base_card
David McCabe,2022,no_base_card
Dayton Dooney,2022,no_base_card
Donta Williams,2022,no_base_card
Douglas Hodo III,2022,no_base_card
Dylan DeLucia,2022,no_base_card
Eduardo Vaughan,2022,no_base_card
Elijah Cabell,2022,no_base_card
Estanli Castillo,2022,no_base_card
Federico Polanco,2022,no_base_card
Gavin Conticello,2022,no_base_card
Greg Cullen,2022,no_base_card
Herard Gonzalez,2022,no_base_card
Hunter Patteson,2022,no_base_card
Isaac De Leon,2022,no_base_card
JT Schwartz,2022,no_base_card
Jack Herman,2022,no_base_card
Jaden Rudd,2022,no_base_card
Jake Rucker,2022,no_base_card
Jared Poland,2022,no_base_card
Jarlin Susana,2022,no_base_card
JoJo Blackmon,2022,no_base_card
John Rhodes,2022,no_base_card
Juan Querecuto,2022,no_base_card
Kevin Kendall,2022,no_base_card
Liam Spence,2022,no_base_card
Luis Chevalier,2022,no_base_card
Mason Albright,2022,no_base_card
Mason Auer,2022,no_base_card
Juan Meza,2015,no_base_card
Daniel Gonzalez,2018,no_base_card
Danny Diaz,2019,no_base_card
Junior Santos,2020,no_base_card
Kala'i Rosario,2020,no_base_card
Kendall Simmons,2020,no_base_card
Lency Delgado,2020,no_base_card
Leonel Valera,2020,no_base_card
Levi Kelly,2020,no_base_card
Micah Bello,2020,no_base_card
Nick Kahle,2020,no_base_card
Omar Estevez,2020,no_base_card
Osiel Rodriguez,2020,no_base_card
Paul Richan,2020,no_base_card
Raimfer Salinas,2020,no_base_card
Randy Florentino,2020,no_base_card
Saul Garza,2020,no_base_card
Seth Gray,2020,no_base_card
Stephen Paolini,2020,no_base_card
Tahnaj Thomas,2020,no_base_card
Thomas Dillard,2020,no_base_card
Tony Dibrell,2020,no_base_card
Trey Harris,2020,no_base_card
Tyler Dyson,2020,no_base_card
Wilderd Patino,2020,no_base_card
Zach Watson,2020,no_base_card
Zack Hess,2020,no_base_card
Adam Kerner,2021,no_base_card
Aldo Ramirez,2021,no_base_card
Franyel Baez,2021,no_base_card
Malfrin Sosa,2021,no_base_card
William Holmes,2021,no_base_card
Gavin Tonkel,2022,no_base_card
